# timestamp[ns] tx ty tz qw qx qy qz
1520511143121139237 0.0390552999 -0.3172468353 1.1370385668 0.9983581710 0.0435158976 -0.0372368196 -0.0008650262
1520511143129472237 0.0397398391 -0.3171547526 1.1365246731 0.9983332201 0.0444284519 -0.0368126927 -0.0013114627
1520511143137805237 0.0403902032 -0.3170550383 1.1360930231 0.9983360830 0.0447439574 -0.0363207040 -0.0019621640
1520511143146138237 0.0411280013 -0.3169387613 1.1356669860 0.9983510191 0.0449759058 -0.0356146676 -0.0020015168
1520511143154472237 0.0418646699 -0.3168135137 1.1352262339 0.9983465588 0.0453767330 -0.0351645745 -0.0029246137
1520511143162805237 0.0425865641 -0.3165345135 1.1346621583 0.9983243090 0.0461651548 -0.0346893498 -0.0037418525
1520511143171138237 0.0433462751 -0.3163915189 1.1342134654 0.9983557395 0.0461140853 -0.0338183788 -0.0039529357
1520511143179472237 0.0441468756 -0.3161854505 1.1337381628 0.9983711706 0.0462979872 -0.0330536944 -0.0043537847
1520511143187805237 0.0450384476 -0.3159581346 1.1332569895 0.9983873678 0.0464937040 -0.0322696243 -0.0044351566
1520511143196139237 0.0459179958 -0.3156520218 1.1327453757 0.9983723527 0.0470717704 -0.0317445917 -0.0054013579
1520511143204472237 0.0468346445 -0.3153413752 1.1322535259 0.9983879284 0.0471694641 -0.0310308839 -0.0058026219
1520511143212805237 0.0477747354 -0.3150448996 1.1317649925 0.9983925772 0.0476456096 -0.0301185293 -0.0059187808
1520511143221139237 0.0487158674 -0.3148482647 1.1312602710 0.9984418890 0.0475235395 -0.0287429811 -0.0053989376
1520511143229472237 0.0496546161 -0.3144432881 1.1307508211 0.9984476262 0.0477632661 -0.0279986192 -0.0060897912
1520511143237805237 0.0504555691 -0.3141446130 1.1302769404 0.9984928374 0.0477589125 -0.0263499465 -0.0060679756
1520511143246139237 0.0514819997 -0.3137948124 1.1297744096 0.9985465713 0.0474247951 -0.0250051068 -0.0055116541
1520511143254472237 0.0526422481 -0.3135473083 1.1294010285 0.9985630621 0.0474437936 -0.0243064767 -0.0054856835
1520511143262805237 0.0537684240 -0.3131436649 1.1288847369 0.9985690544 0.0477358923 -0.0234432191 -0.0056163816
1520511143271138237 0.0548508130 -0.3127936660 1.1283976544 0.9986141747 0.0474275040 -0.0221635214 -0.0053981731
1520511143279472237 0.0560373089 -0.3124212613 1.1279453195 0.9986265005 0.0475073211 -0.0214464587 -0.0053119115
1520511143287805237 0.0571314707 -0.3120521570 1.1274167333 0.9986824249 0.0470614815 -0.0199485999 -0.0045480299
1520511143296138237 0.0583749970 -0.3116164781 1.1269184552 0.9986758304 0.0474530394 -0.0192412437 -0.0049567458
1520511143304472237 0.0596255391 -0.3112151586 1.1264637552 0.9987025668 0.0472384778 -0.0184061857 -0.0047876483
1520511143312805237 0.0609544989 -0.3107416155 1.1259440299 0.9986959409 0.0475976263 -0.0178416184 -0.0047497535
1520511143321139237 0.0622886419 -0.3103026505 1.1254459043 0.9987117211 0.0476152318 -0.0169893987 -0.0043644206
1520511143329472237 0.0637357777 -0.3097879048 1.1249407495 0.9987033064 0.0480424170 -0.0164091612 -0.0037909688
1520511143337805237 0.0651237487 -0.3092949732 1.1245046421 0.9987062105 0.0480711688 -0.0162515392 -0.0033098902
1520511143346139237 0.0665560309 -0.3088856505 1.1240250362 0.9987509234 0.0472036593 -0.0162015551 -0.0024325219
1520511143354472237 0.0679215421 -0.3082942887 1.1236099138 0.9987491588 0.0473397805 -0.0160148838 -0.0016082439
1520511143362805237 0.0695049035 -0.3077757700 1.1231315143 0.9986779441 0.0484294679 -0.0171367537 -0.0018117208
